DATE,CCUSMA02NZM618N_NBD19600101
1992-01-01,255.42990
1992-02-01,255.78703
1992-03-01,253.08234
1992-04-01,256.04700
1992-05-01,259.04271
1992-06-01,255.64902
1992-07-01,253.77534
1992-08-01,256.42056
1992-09-01,256.03050
1992-10-01,256.94262
1992-11-01,266.52846
1992-12-01,268.88463
1993-01-01,269.75372
1993-02-01,268.55282
1993-03-01,261.56466
1993-04-01,257.18550
1993-05-01,255.31352
1993-06-01,256.83966
1993-07-01,252.71253
1993-08-01,251.03988
1993-09-01,251.52876
1993-10-01,250.68648
1993-11-01,253.55106
1993-12-01,249.33195
1994-01-01,246.27966
1994-02-01,241.40724
1994-03-01,242.79526
1994-04-01,243.62138
1994-05-01,237.49614
1994-06-01,234.40662
1994-07-01,230.88912
1994-08-01,230.25076
1994-09-01,229.88196
1994-10-01,228.15144
1994-11-01,223.27536
1994-12-01,217.52346
1995-01-01,216.48924
1995-02-01,218.46479
1995-03-01,214.64500
1995-04-01,207.63885
1995-05-01,207.61020
1995-06-01,206.77608
1995-07-01,205.82446
1995-08-01,210.90159
1995-09-01,211.12806
1995-10-01,210.14910
1995-11-01,211.93854
1995-12-01,213.07532
1996-01-01,209.24316
1996-02-01,205.19334
1996-03-01,203.41860
1996-04-01,202.83780
1996-05-01,201.84948
1996-06-01,204.81407
1996-07-01,200.97723
1996-08-01,201.46707
1996-09-01,198.88110
1996-10-01,197.57912
1996-11-01,195.08346
1996-12-01,196.34670
1997-01-01,197.33175
1997-02-01,200.39689
1997-03-01,198.54450
1997-04-01,200.16864
1997-05-01,200.55628
1997-06-01,201.66234
1997-07-01,209.46076
1997-08-01,215.47657
1997-09-01,217.74918
1997-10-01,218.05034
1997-11-01,222.22030
1997-12-01,234.04620
1998-01-01,239.11404
1998-02-01,237.63802
1998-03-01,242.17011
1998-04-01,250.40308
1998-05-01,257.54583
1998-06-01,270.47853
1998-07-01,267.45341
1998-08-01,276.85548
1998-09-01,275.38245
1998-10-01,265.71951
1998-11-01,259.75686
1998-12-01,265.21362
1999-01-01,258.68304
1999-02-01,255.00430
1999-03-01,260.82592
1999-04-01,255.05934
1999-05-01,251.10360
1999-06-01,260.32545
1999-07-01,263.39292
1999-08-01,263.28582
1999-09-01,265.38120
1999-10-01,269.60142
1999-11-01,270.79140
1999-12-01,272.87304
2000-01-01,269.78629
2000-02-01,282.86346
2000-03-01,283.08026
2000-04-01,279.63451
2000-05-01,295.82061
2000-06-01,294.85575
2000-07-01,301.03458
2000-08-01,310.60923
2000-09-01,332.65386
2000-10-01,346.10940
2000-11-01,347.62455
2000-12-01,322.76475
2001-01-01,312.36471
2001-02-01,318.88395
2001-03-01,331.40646
2001-04-01,341.37180
2001-05-01,328.90443
2001-06-01,334.54674
2001-07-01,339.65757
2001-08-01,321.77858
2001-09-01,331.33092
2001-10-01,334.93232
2001-11-01,333.14526
2001-12-01,332.93645
2002-01-01,326.82384
2002-02-01,331.27687
2002-03-01,320.61018
2002-04-01,314.25030
2002-05-01,300.90181
2002-06-01,283.47442
2002-07-01,287.99091
2002-08-01,298.85688
2002-09-01,294.36396
2002-10-01,288.03310
2002-11-01,279.25788
2002-12-01,272.19581
2003-01-01,256.70295
2003-02-01,250.24369
2003-03-01,250.44756
2003-04-01,251.28684
2003-05-01,241.02162
2003-06-01,238.80611
2003-07-01,236.40339
2003-08-01,238.26660
2003-09-01,237.63978
2003-10-01,230.75333
2003-11-01,220.57497
2003-12-01,214.40232
2004-01-01,206.11074
2004-02-01,200.40659
2004-03-01,209.62467
2004-04-01,216.21600
2004-05-01,224.71746
2004-06-01,220.35006
2004-07-01,214.62777
2004-08-01,212.01642
2004-09-01,210.60207
2004-10-01,202.91634
2004-11-01,198.12051
2004-12-01,194.08273
2005-01-01,196.50048
2005-02-01,193.85289
2005-03-01,190.16282
2005-04-01,192.48768
2005-05-01,192.84930
2005-06-01,195.82920
2005-07-01,204.31554
2005-08-01,199.38393
2005-09-01,198.25785
2005-10-01,198.61116
2005-11-01,200.99457
2005-12-01,199.86750
2006-01-01,201.54330
2006-02-01,205.97346
2006-03-01,218.72888
2006-04-01,222.91038
2006-05-01,219.48817
2006-06-01,224.12250
2006-07-01,224.67720
2006-08-01,218.51797
2006-09-01,211.79400
2006-10-01,209.39940
2006-11-01,207.05580
2006-12-01,199.84140
2007-01-01,199.42130
2007-02-01,199.76418
2007-03-01,198.28620
2007-04-01,188.71380
2007-05-01,189.17092
2007-06-01,183.18960
2007-07-01,176.31810
2007-08-01,191.27824
2007-09-01,192.92427
2007-10-01,182.55428
2007-11-01,181.67940
2007-12-01,180.27009
2008-01-01,179.57452
2008-02-01,174.00243
2008-03-01,173.24718
2008-04-01,175.75394
2008-05-01,178.10014
2008-06-01,182.10493
2008-07-01,183.66656
2008-08-01,195.34275
2008-09-01,205.57892
2008-10-01,228.64179
2008-11-01,245.75859
2008-12-01,249.07806
2009-01-01,253.24299
2009-02-01,268.68340
2009-03-01,260.68266
2009-04-01,242.42085
2009-05-01,230.50830
2009-06-01,217.13895
2009-07-01,215.20060
2009-08-01,204.90426
2009-09-01,197.02242
2009-10-01,187.75449
2009-11-01,190.01664
2009-12-01,193.56093
2010-01-01,190.70304
2010-02-01,198.80368
2010-03-01,197.02894
2010-04-01,194.67189
2010-05-01,199.06062
2010-06-01,200.45277
2010-07-01,194.56983
2010-08-01,194.08284
2010-09-01,189.98784
2010-10-01,184.39146
2010-11-01,179.62497
2010-12-01,184.42658
2011-01-01,181.11720
2011-02-01,181.89102
2011-03-01,186.94609
2011-04-01,175.64184
2011-05-01,174.11121
2011-06-01,170.08677
2011-07-01,163.80276
2011-08-01,165.45405
2011-09-01,170.77851
2011-10-01,176.48268
2011-11-01,180.00864
2011-12-01,180.03258
2012-01-01,173.31426
2012-02-01,165.97152
2012-03-01,169.05420
2012-04-01,169.56390
2012-05-01,179.10916
2012-06-01,177.65484
2012-07-01,173.56815
2012-08-01,171.06072
2012-09-01,169.40732
2012-10-01,169.08115
2012-11-01,169.24446
2012-12-01,166.85328
2013-01-01,165.67762
2013-02-01,165.29644
2013-03-01,167.28690
2013-04-01,163.55115
2013-05-01,168.54642
2013-06-01,175.44570
2013-07-01,175.80633
2013-08-01,175.15940
2013-09-01,170.31749
2013-10-01,166.10216
2013-11-01,167.94479
2013-12-01,168.61566
2014-01-01,167.48786
2014-02-01,167.04620
2014-03-01,162.35657
2014-04-01,161.05704
2014-05-01,161.14216
2014-06-01,160.84873
2014-07-01,159.53601
2014-08-01,164.27037
2014-09-01,170.24931
2014-10-01,176.05978
2014-11-01,176.92907
2014-12-01,178.55591
2015-01-01,181.41669
2015-02-01,186.00335
2015-03-01,185.82890
2015-04-01,182.65388
2015-05-01,187.83930
2015-06-01,198.62067
2015-07-01,208.42379
2015-08-01,211.78595
2015-09-01,218.86679
2015-10-01,207.12447
2015-11-01,211.48763
2015-12-01,205.38489
2016-01-01,212.09206
2016-02-01,209.03296
2016-03-01,205.60864
2016-04-01,201.17731
2016-05-01,203.85521
2016-06-01,196.82195
2016-07-01,194.31654
2016-08-01,191.53435
2016-09-01,189.61123
