DATE,CCUSMA02HUM618N_NBD19680101
2018-04-01,423.08651
2018-05-01,445.72101
2018-06-01,460.59524
2018-07-01,463.33939
2018-08-01,466.30000
2018-09-01,464.22000
2018-10-01,470.18551
2018-11-01,473.37652
2018-12-01,472.18254
2019-01-01,467.05000
2019-02-01,467.10333
2019-03-01,465.61429
2019-04-01,475.93485
2019-05-01,484.36377
2019-06-01,476.42500
2019-07-01,483.19058
2019-08-01,489.53939
2019-09-01,503.20159
2019-10-01,500.26449
2019-11-01,503.06111
2019-12-01,496.30379
2020-01-01,501.51014
2020-02-01,515.45250
2020-03-01,520.19091
2020-04-01,546.65076
2020-05-01,537.27302
2020-06-01,514.45833
2020-07-01,510.93986
2020-08-01,491.02619
2020-09-01,509.38182
2020-10-01,513.80758
2020-11-01,507.06984
2020-12-01,492.06522
2021-01-01,491.74762
2021-02-01,493.41000
2021-03-01,512.05145
2021-04-01,503.23864
2021-05-01,485.65952
2021-06-01,483.78258
2021-07-01,503.67500
2021-08-01,498.29697
2021-09-01,498.74848
2021-10-01,518.58016
2021-11-01,532.22803
2021-12-01,541.72754
2022-01-01,527.99762
2022-02-01,524.73333
2022-03-01,570.59348
2022-04-01,577.38492
2022-05-01,606.03864
2022-06-01,625.39091
2022-07-01,661.37540
2022-08-01,662.11087
2022-09-01,679.69697
2022-10-01,709.24206
2022-11-01,666.19242
2022-12-01,640.72879
2023-01-01,612.21136
2023-02-01,598.65417
2023-03-01,599.85652
2023-04-01,571.73083
2023-05-01,571.27826
2023-06-01,570.24773
2023-07-01,571.41825
2023-08-01,588.91449
2023-09-01,602.90397
2023-10-01,607.95455
2023-11-01,584.73485
2023-12-01,583.11984
