Date,Sweden
2009-01-01,8.1434
2009-02-01,8.5305
2009-03-01,8.56836363636364
2009-04-01,8.22631818181818
2009-05-01,7.74238095238095
2009-06-01,7.76559545454545
2009-07-01,7.68369565217391
2009-08-01,7.155
2009-09-01,6.99686363636364
2009-10-01,6.95590909090909
2009-11-01,6.92414285714286
2009-12-01,7.13908695652174
2010-01-01,7.1417619047619
2010-02-01,7.2586
2010-03-01,7.16286956521739
2010-04-01,7.20990909090909
2010-05-01,7.70012857142857
2010-06-01,7.83204545454545
2010-07-01,7.42159090909091
2010-08-01,7.30345454545454
2010-09-01,7.03927272727273
2010-10-01,6.68252380952381
2010-11-01,6.82731818181818
2010-12-01,6.84682608695652
2011-01-01,6.66752380952381
2011-02-01,6.4299
2011-03-01,6.347
2011-04-01,6.19561904761905
2011-05-01,6.25172727272727
2011-06-01,6.32481818181818
2011-07-01,6.3877619047619
2011-08-01,6.39852173913043
2011-09-01,6.641
2011-10-01,6.64147619047619
2011-11-01,6.73304545454545
2011-12-01,6.85186363636364
2012-01-01,6.85059090909091
2012-02-01,6.659
2012-03-01,6.73033636363636
2012-04-01,6.73138095238095
2012-05-01,7.031
2012-06-01,7.07123809523809
2012-07-01,6.94727272727273
2012-08-01,6.67478260869565
2012-09-01,6.59965
2012-10-01,6.63821739130435
2012-11-01,6.70440909090909
2012-12-01,6.58933333333333
2013-01-01,6.48191304347826
2013-02-01,6.372
2013-03-01,6.44447619047619
2013-04-01,6.48627272727273
2013-05-01,6.60361904761905
2013-06-01,6.57223
2013-07-01,6.61997391304348
2013-08-01,6.53521818181818
2013-09-01,6.50097619047619
2013-10-01,6.41108695652174
2013-11-01,6.58435714285714
2013-12-01,6.54394090909091
2014-01-01,6.48619130434783
2014-02-01,6.497665
2014-03-01,6.41398571428571
2014-04-01,6.54332727272727
2014-05-01,6.57249545454545
2014-06-01,6.68011428571429
2014-07-01,6.81604782608696
2014-08-01,6.89900952380952
2014-09-01,7.12302272727273
2014-10-01,7.23708695652174
2014-11-01,7.41347
2014-12-01,7.63614347826087
2015-01-01,8.08789545454546
2015-02-01,8.350395
2015-03-01,8.53001818181818
2015-04-01,8.64897727272727
2015-05-01,8.33512380952381
2015-06-01,8.26721818181818
2015-07-01,8.52279565217391
2015-08-01,8.5478380952381
2015-09-01,8.36724545454545
2015-10-01,8.32213636363636
2015-11-01,8.67578095238095
2015-12-01,8.49647826086957
2016-01-01,8.52686666666667
2016-02-01,8.47191904761905
2016-03-01,8.3619652173913
2016-04-01,8.12041904761905
2016-05-01,8.21134090909091
2016-06-01,8.29634545454545
2016-07-01,8.56057619047619
2016-08-01,8.47139130434783
2016-09-01,8.53338181818182
2016-10-01,8.79762380952381
2016-11-01,9.11262727272727
2016-12-01,9.21298181818182
2017-01-01,8.95691363636364
2017-02-01,8.898645
2017-03-01,8.91776956521739
2017-04-01,8.947525
2017-05-01,8.78434347826087
2017-06-01,8.68658636363636
2017-07-01,8.33248571428572
2017-08-01,8.08381304347826
2017-09-01,7.99993333333333
2017-10-01,8.17246818181818
2017-11-01,8.38661818181818
2017-12-01,8.39726666666667
2018-01-01,8.06156956521739
2018-02-01,8.032005
2018-03-01,8.23915
2018-04-01,8.44179523809524
2018-05-01,8.75857826086957
2018-06-01,8.8000619047619
2018-07-01,8.82253181818182
2018-08-01,9.06227826086957
2018-09-01,8.95718
2018-10-01,9.03491304347826
2018-11-01,9.05559545454545
2018-12-01,9.01928571428572
2019-01-01,8.9856347826087
2019-02-01,9.24949
2019-03-01,9.28867142857143
2019-04-01,9.31852727272727
2019-05-01,9.59958260869565
2019-06-01,9.410695
2019-07-01,9.40946956521739
