Date,Uk
2002-04-01,193.96041
2002-05-01,191.80625
2002-06-01,188.55190
2002-07-01,179.86998
2002-08-01,182.13861
2002-09-01,179.88564
2002-10-01,179.78314
2002-11-01,178.19745
2002-12-01,176.50861
2003-01-01,173.01657
2003-02-01,174.17792
2003-03-01,176.88364
2003-04-01,177.77876
2003-05-01,172.59404
2003-06-01,168.62776
2003-07-01,172.53245
2003-08-01,175.70444
2003-09-01,173.56981
2003-10-01,166.87933
2003-11-01,165.68670
2003-12-01,159.87902
2004-01-01,153.48934
2004-02-01,149.89648
2004-03-01,153.18453
2004-04-01,155.15885
2004-05-01,156.54046
2004-06-01,153.06775
2004-07-01,151.88077
2004-08-01,153.91615
2004-09-01,156.18949
2004-10-01,154.86922
2004-11-01,150.49773
2004-12-01,145.08529
2005-01-01,149.06903
2005-02-01,148.25326
2005-03-01,147.09255
2005-04-01,147.65764
2005-05-01,151.07864
2005-06-01,154.04756
2005-07-01,159.84386
2005-08-01,156.02475
2005-09-01,154.91940
2005-10-01,158.62746
2005-11-01,161.35890
2005-12-01,160.43909
2006-01-01,158.53345
2006-02-01,160.21368
2006-03-01,160.51957
2006-04-01,158.35350
2006-05-01,149.75808
2006-06-01,151.92413
2006-07-01,151.79047
2006-08-01,147.89173
2006-09-01,148.49400
2006-10-01,149.22053
2006-11-01,146.43726
2006-12-01,142.69264
2007-01-01,142.92834
2007-02-01,142.96230
2007-03-01,143.75902
2007-04-01,140.88519
2007-05-01,141.17490
2007-06-01,140.91414
2007-07-01,137.65414
2007-08-01,139.23361
2007-09-01,138.70717
2007-10-01,136.95720
2007-11-01,135.15139
2007-12-01,138.88626
2008-01-01,142.11936
2008-02-01,142.63483
2008-03-01,139.94438
2008-04-01,141.28603
2008-05-01,142.41054
2008-06-01,142.51176
2008-07-01,140.89373
2008-08-01,148.56531
2008-09-01,155.85102
2008-10-01,165.99723
2008-11-01,182.94453
2008-12-01,188.44673
2009-01-01,193.73892
2009-02-01,194.34094
2009-03-01,197.62342
2009-04-01,190.30498
2009-05-01,181.43315
2009-06-01,171.06702
2009-07-01,170.98872
2009-08-01,169.40605
2009-09-01,171.62068
2009-10-01,172.89345
2009-11-01,168.80603
2009-12-01,172.66878
2010-01-01,173.07285
2010-02-01,179.16440
2010-03-01,185.98751
2010-04-01,182.82108
2010-05-01,190.63348
2010-06-01,189.78314
2010-07-01,183.19018
2010-08-01,179.16822
2010-09-01,179.77915
2010-10-01,176.59297
2010-11-01,175.59173
2010-12-01,179.76642
2011-01-01,177.40634
2011-02-01,173.62020
2011-03-01,173.37489
2011-04-01,170.99277
2011-05-01,171.41703
2011-06-01,172.70253
2011-07-01,173.37953
2011-08-01,171.20785
2011-09-01,177.44997
2011-10-01,177.73968
2011-11-01,177.11905
2011-12-01,179.66460
2012-01-01,180.51736
2012-02-01,177.19300
2012-03-01,176.99178
2012-04-01,175.04625
2012-05-01,176.01672
2012-06-01,180.08643
2012-07-01,179.63914
2012-08-01,178.13506
2012-09-01,173.80221
2012-10-01,174.15405
2012-11-01,175.43899
2012-12-01,173.47286
2013-01-01,175.33496
2013-02-01,181.02647
2013-03-01,185.69997
2013-04-01,182.84653
2013-05-01,183.28655
2013-06-01,180.92832
2013-07-01,184.57882
2013-08-01,180.54943
2013-09-01,176.52257
2013-10-01,173.99882
2013-11-01,173.89434
2013-12-01,170.95540
2014-01-01,169.97788
2014-02-01,169.03252
2014-03-01,168.46215
2014-04-01,167.18264
2014-05-01,166.22654
2014-06-01,165.63792
2014-07-01,164.05555
2014-08-01,167.64385
2014-09-01,171.74375
2014-10-01,174.26751
2014-11-01,177.45494
2014-12-01,179.13056
2015-01-01,184.67360
2015-02-01,182.61748
2015-03-01,187.24307
2015-04-01,187.19610
2015-05-01,181.21767
2015-06-01,179.88975
2015-07-01,179.95646
2015-08-01,179.80256
2015-09-01,182.69380
2015-10-01,182.55227
2015-11-01,184.34178
2015-12-01,187.00091
2016-01-01,194.52268
2016-02-01,195.90086
2016-03-01,196.58528
2016-04-01,195.65819
2016-05-01,192.72172
2016-06-01,197.33209
2016-07-01,213.08161
2016-08-01,213.76804
2016-09-01,213.07857
2016-10-01,227.17878
2016-11-01,225.25481
2016-12-01,224.60748
2017-01-01,226.77730
2017-02-01,224.18315
2017-03-01,226.78765
2017-04-01,221.54545
2017-05-01,216.58530
2017-06-01,218.54908
2017-07-01,215.50383
2017-08-01,216.18452
2017-09-01,210.21218
2017-10-01,212.18572
2017-11-01,211.83788
2017-12-01,208.99747
2018-01-01,202.70728
2018-02-01,200.58544
2018-03-01,200.42263
2018-04-01,198.86857
2018-05-01,208.09942
2018-06-01,210.73846
2018-07-01,212.64392
2018-08-01,217.41011
2018-09-01,214.38462
2018-10-01,215.22141
2018-11-01,217.07088
2018-12-01,221.07643
2019-01-01,217.21155
2019-02-01,215.13378
2019-03-01,212.69066
2019-04-01,214.86771
2019-05-01,218.02614
2019-06-01,220.84753
2019-07-01,224.60941
2019-08-01,230.33814
2019-09-01,226.65823
2019-10-01,221.51482
2019-11-01,217.33550
2019-12-01,213.78649
2020-01-01,214.10137
2020-02-01,216.11284
2020-03-01,226.84998
2020-04-01,225.50733
2020-05-01,227.64573
2020-06-01,223.58760
2020-07-01,220.69159
2020-08-01,213.18068
2020-09-01,216.16963
2020-10-01,215.64690
2020-11-01,211.98197
2020-12-01,208.47000
2021-01-01,205.37094
2021-02-01,201.91283
2021-03-01,202.04925
2021-04-01,202.26739
2021-05-01,198.73350
2021-06-01,199.67895
2021-07-01,202.80259
2021-08-01,202.95138
2021-09-01,203.91881
2021-10-01,204.45664
2021-11-01,208.24509
2021-12-01,210.31795
2022-01-01,206.55604
2022-02-01,206.84269
2022-03-01,212.56156
2022-04-01,216.65134
2022-05-01,224.98027
2022-06-01,227.38021
2022-07-01,233.54608
2022-08-01,233.69209
2022-09-01,247.30063
2022-10-01,247.62938
2022-11-01,238.53848
2022-12-01,230.11897
2023-01-01,229.12429
2023-02-01,231.70310
2023-03-01,230.73603
2023-04-01,224.98720
2023-05-01,224.48390
2023-06-01,221.70772
2023-07-01,217.38763
2023-08-01,220.46636
2023-09-01,226.03407
2023-10-01,230.11973
2023-11-01,225.31412
2023-12-01,221.22417
